source target
OPI3 FAR8
OPI3 SBH2
OPI3 ALG8
OPI3 CSF1
OPI3 SEM1
OPI3 PMR1
OPI3 PPG1
OPI3 RER1
OPI3 OST5
OPI3 SAC1
OPI3 SNF1
OPI3 DOA1
OPI3 DIE2
OPI3 OAR1
OPI3 NEM1
OPI3 INO4
OPI3 COG7
OPI3 CHK1
OPI3 PGA3
OPI3 CKI1
OPI3 WBP1
OPI3 CRG1
OPI3 SWI4
OPI3 DGK1
OPI3 SWC5
OPI3 RUD3
OPI3 TGL2
OPI3 CDS1
OPI3 XRN1
OPI3 CHO2
OPI3 ERG6
OPI3 BRE5
OPI3 CHS3
OPI3 TLG2
OPI3 YSA1
OPI3 CCS1
OPI3 ERG5
OPI3 IES5
OPI3 SWD3
OPI3 BCK1
OPI3 XRS2
OPI3 HAC1
OPI3 TRS85
OPI3 ALG5
OPI3 CHS7
OPI3 LRO1
OPI3 ERG11
OPI3 ERG4
OPI3 EMC6
OPI3 SSD1
OPI3 SCJ1
OPI3 FAR7
OPI3 OST3
OPI3 OLE1
OPI3 POL32
OPI3 CYS3
OPI3 LEM3
OPI3 SEC63
OPI3 PSD2
OPI3 VPH2
OPI3 HMG2
OPI3 CKB1
OPI3 GLO3
OPI3 SAP190
OPI3 GET2
OPI3 GYP1
OPI3 SYS1
OPI3 LHS1
OPI3 ELP2
OPI3 SPT23
OPI3 VPS1
OPI3 CSG2
OPI3 GIM4
OPI3 SKT5
OPI3 RXT2
OPI3 EMC5
OPI3 MNN11
OPI3 ALG6
RPL2B SBP1
RPL2B RKR1
END3 SPC105
END3 RVS167
END3 PAN1
END3 YAP1802
END3 RSP5
END3 KEL1
END3 SLA1
END3 EDE1
END3 SCD5
END3 RVS161
END3 LAS17
END3 SPC19
END3 RPT5
END3 SPC72
ADE2 HPT1
ADE2 SSB2
ADE2 HSC82
ADE2 HSP82
VMA1 YPT6
VMA1 VMA13
VMA1 VMA8
VMA1 EOS1
VMA1 RPN11
VMA1 VMA5
VMA1 BRE5
VMA1 VMA7
VMA1 TPK1
VMA1 VMA2
VMA1 RIC1
VMA1 SYS1
VMA1 VMA10
VMA1 POP2
VMA1 VPH1
VMA1 VMA4
VMA1 VPS13
VMA1 VPS21
VMA1 RAD3
VMA1 TLG2
ACH1 HTD2
ACH1 CIT1
ACH1 LAT1
ACH1 ARO1
