source target
ETNK1 CCRN4L
ETNK1 LRRN2
ETNK1 PNLIP
ETNK1 NAPRT
ETNK1 EVA1C
ETNK1 WDTC1
ETNK1 SLC18A1
ETNK1 NASP
TDO2 ASMTL
VTI1A STX7
VTI1A HAUS1
VTI1A VAMP4
VTI1A STX12
VTI1A CLEC12A
VTI1A STX6
ANKLE2 FGL1
ANKLE2 BCL2L11
ANKLE2 GHITM
ANKLE2 PPP2CB
ANKLE2 ATP6V0A2
ANKLE2 IL4R
ANKLE2 CNGA3
ANKLE2 IL17RB
ANKLE2 OSMR
ANKLE2 GLMN
ANKLE2 PDGFRB
ANKLE2 STAC
ANKLE2 KCNA5
ANKLE2 STAC3
THAP4 ACTBL2
THAP4 AIFM1
THAP4 ACTB
THAP4 HSPA8
THAP4 HSPA2
THAP4 GFER
DENND4B ZMAT5
C12orf66 KPTN
C12orf66 C7orf60
C12orf66 ITFG2
C12orf66 DEPDC5
TMCO6 DPP9
TMCO6 PHYHIPL
TMCO6 LSM5
TMCO6 ZNF511
TMCO6 UBB
UTP15 TNFRSF1A
UTP15 CIRH1A
UTP15 NOL7
UTP15 FBL
UTP15 TBC1D15
UTP15 C1D
UTP15 CSGALNACT2
UTP15 NLGN3
UTP15 CDH5
UTP15 ZNF324B
UTP15 RBM4
UTP15 LAMP3
HSP90B1 LYZL2
NLGN4Y NLGN3
NLGN4Y PRIM2
NLGN4Y PRIM1
FKBP11 ANKRD13D
FKBP11 AHNAK2
FKBP11 PAG1
FKBP11 GOPC
VDAC1 APOE
RTN4IP1 LETMD1
RTN4IP1 PPTC7
RTN4IP1 HEXIM1
RTN4IP1 ATP5D
RTN4IP1 BLVRA
RTN4IP1 CDC42EP4
RTN4IP1 FOXRED1
SLC7A3 SLC2A5
SLC7A3 B4GAT1
SLC7A3 LPAR6
SLC7A3 RTN1
SLC7A3 LPAR1
SLC7A3 SLC17A2
SLC7A3 CLEC2D
SLC7A3 SLC18A1
SLC7A3 IPPK
SLC7A3 SDC2
SLC7A3 WDFY2
SLC7A3 TMEM5
SLC7A3 TXNDC15
NAPG STX8
NAPG FAM177A1
NAPG PRPSAP2
NAPG SCFD2
NAPG VTI1B
NAPG VAMP4
NAPG NBAS
NAPG PRKAR1B
NAPG PIPOX
NAPG SEC22B
NAPG STX7
NAPG SPRTN
NAPG STXBP6
NAPG FMN1
NAPG PRKACB
NAPG STX12
NAPG UFSP2
NAPG CPNE5
NAPG STX6
NAPG NAPA
PDP2 SPINK2
PDP2 NPB
PDP2 NOX5
PDP2 PAPL
PDP2 NDUFS7
PDP2 TMEM184A
SNRNP48 SNRPN
SNRNP48 SNRPF
SNRNP48 SNRPE
SNRNP48 ZRSR2
SNRNP48 ZMAT5
SNRNP48 SNRNP35
SNRNP48 SNRPG
SNRNP48 ZCRB1
MED8 CDK19
MED8 CDK8
MED8 TCL1B
MED8 BIRC5
MED8 MED1
MED8 MED7
MED8 MED18
MED8 MED19
MED8 CCNC
MED8 MED21
PON1 NFYC
PON1 PON3
PON1 SFXN5
PON1 MICU2
PON1 NDUFB6
PON1 RDH13
EPB41L1 EPB41L2
EPB41L1 HAX1
EPB41L1 ARMC1
EPB41L1 MISP
EPB41L1 NUFIP1
EPB41L1 ISG20
EPB41L1 EIF3I
EPB41L1 DNAAF2
EPB41L1 DDAH2
EPB41L1 DGUOK
EPB41L1 PRICKLE3
KLK6 EMC7
KLK6 CPSF4
KLK6 TUBB3
KLK6 CDYL
KLK6 TUBA4A
KLK6 FBXO42
KLK6 STRBP
MYH1 HIF1A
MYH1 AURKC
MYH1 TLE3
MYH1 TMEM260
ATP7A RAB29
ATP7A COG6
ATP7A APBB2
ATP7A C3AR1
ATP7A LAMP3
ATP7A RPS27
ATP7A COG5
ATP7A CLEC2D
ATP7A NCR3LG1
ATP7A ITM2A
ATP7A CD83
ULBP2 MTUS2
ULBP2 RAET1E
ULBP2 SLC39A5
ULBP2 TMEM30B
ULBP2 SLC4A8
ULBP2 GJB7
ULBP2 MED21
ULBP2 DUSP22
ULBP2 FCGRT
ULBP2 TNFSF8
ULBP2 IDO2
ULBP2 DUS4L
ULBP2 ANKRD12
ULBP2 HOXB5
FTH1 KLK5
FTH1 HAL
FTH1 FLG
FTH1 TGM5
FTH1 IL1RN
FTH1 IGKC
FTH1 SERPINA12
FTH1 CASP14
FTH1 NCCRP1
FTH1 CST6
FTH1 PLBD1
FTH1 SDR16C5
FTH1 TGM3
FTH1 TREX2
FTH1 NCOA4
FTH1 SERPINB3
FTH1 ALOX12B
FTH1 SERPINB7
FTH1 GM2A
FTH1 ACPP
FTH1 KLK7
FTH1 ME1
FTH1 KLK10
FTH1 SERPINB4
FTH1 FTL
FTH1 CAPNS2
FTH1 LUC7L2
FTH1 SEMG1
FTH1 CST1
FTH1 CTSV
FTH1 CPA4
FTH1 POF1B
FTH1 CALML3
FTH1 RBP4
FTH1 A2ML1
FTH1 KLK11
FTH1 CRNN
FTH1 ASAH1
FTH1 PPL
FTH1 IL37
FTH1 SEMG2
FTH1 ECM1
FTH1 TGM1
FTH1 CST4
FTH1 IVL
FTH1 CALML5
FTH1 CPM
TROVE2 ELAVL2
NOP58 FBL
NOP58 TMEM194A
MLF1 BRCA2
MLF1 PRKACB
MLF1 CASC5
MLF1 PROZ
MLF1 CEP295
MLF1 RIPK1
MLF1 WNK1
MLF1 FAM21A
MLF1 AARSD1
MLF1 TSHR
MLF1 TRO
MLF1 KIF20B
MLF1 CCDC88A
MLF1 RABGAP1L
MLF1 ATG2B
MLF1 KIF11
MLF1 CRYBG3
MLF1 AKAP11
MLF1 ERCC6L
MLF1 PDE4DIP
MLF1 ALMS1
MLF1 HAUS8
MLF1 EPB41L2
MLF1 THSD4
MLF1 BUB1
MLF1 NDC80
MLF1 FAM83H
MLF1 DSN1
MLF1 PRKAR1B
MLF1 ZWINT
MLF1 CDC16
MLF1 SYNRG
MLF1 CDK5RAP2
MLF1 HAUS6
MLF1 PLEC
MLF1 DNAJB8
MLF1 SPC24
MLF1 PMF1
MLF1 PRKACG
NUDT15 CLPSL1
NUDT15 LCN15
NUDT15 LZTS2
NUDT15 C1orf220
KIFC3 SYCE3
KIFC3 CEP170
AFF3 PIP4K2A
AFF3 CDK9
TESC LPAR1
